2026-09-25T10:20:29Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T10:15:07Z; issues_newer_than_window=0; origin_branches_matching_pattern=0; dev_in_sync_with_origin=1; tracked_tree_clean=1
2026-09-25T10:32:35Z | (none) | (none) | ABORT_DIRTY | last_run_at=2026-09-25T10:30:10Z; untracked=5: .autopilot/, .ulys-task-cleanup-audit.json, tools/rgs-flash-mock/logs/regression-{after-merge-20260925-1810,test-all-20260925-1746,test-all-20260925-1821}.log; origin_branches_matching_pattern=0; done_issues_newer_than_window=0; dev_in_sync_with_origin=1; tracked_tree_clean=1 (modified tracked files=0, untracked only)
2026-09-25T11:01:00Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T11:00:13Z; issues_newer_than_window=23; origin_branches_matching_pattern=0; dev_tip=61cb9ef7 matches_local=61cb9ef7; tracked_tree_clean=1; candidate_issue_branch_pairs=0 (no agent/* branches on origin RGS); all_done_issues_already_present_in_dev_or_not_RGS_scoped
2026-09-25T11:19:30Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T11:15:07Z; issues_newer_than_window=N (not filtered, all 50 done scanned); origin_branches_matching_pattern=0; dev_tip=61cb9ef7 matches_origin=61cb9ef7; tracked_tree_dirty=1 (self: .autopilot/merge.log uncommitted append from prior run, resolved via this housekeeping commit); candidate_issue_branch_pairs=0 (zero refs/heads/agent/*/ULYS-* on origin; only PR refs and archive/* tags)
2026-09-25T11:35:54Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T11:30:10Z; issues_newer_than_window=0 (page1 100 done scanned; none after last_run); origin_branches_matching_pattern=0 (zero refs/heads/agent/*/ULYS-* on origin RGS); dev_tip_local=4b7f80172752374a661618fc52fccac4930a7991 matches_origin=4b7f80172752374a661618fc52fccac4930a7991; tracked_tree_clean=1; autopilot_id=82acf028-29f3-4bfc-b288-885df575c3df
2026-09-25T11:48:22Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T11:45:06Z; issues_newer_than_window=0 (page1 50 done scanned, none after last_run); origin_branches_matching_pattern=0 (zero refs/heads/agent/*/ULYS-* on origin RGS; total origin refs=211 incl PR/archive/HEAD); dev_tip_local=4b7f80172752374a661618fc52fccac4930a7991 matches_origin=4b7f80172752374a661618fc52fccac4930a7991; tracked_tree_dirty=1 (self: .autopilot/merge.log uncommitted append from prior run, resolved via this housekeeping commit); autopilot_id=82acf028-29f3-4bfc-b288-885df575c3df; trigger_run_id=01a0d862-28ea-7b5c-956c-10ac457191ec
2026-09-25T12:03:04Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T12:00:15Z; issues_newer_than_window=0 (page1+page2 done scanned, none after last_run); origin_branches_matching_pattern=0 (zero refs/heads/agent/*/ULYS-* on origin RGS, total origin refs=211); dev_tip_local=1402745c018ce7a7261685619ba1c65088050a80 matches_origin=1402745c018ce7a7261685619ba1c65088050a80; tracked_tree_dirty=1 (self: .autopilot/merge.log uncommitted append from prior run, resolved via this housekeeping commit); autopilot_id=82acf028-29f3-4bfc-b288-885df575c3df; trigger_run_id=01a0d870-058f-7dd7-b1d2-dd5253bab78a
2026-09-25T12:17:40Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T12:15:07Z; issues_newer_than_window=0 (page1 100 done scanned, newest 10:08:37Z < window; page2 server timeout but older than page1 so can't contain newer); origin_branches_matching_pattern=0 (zero refs/heads/agent/*/ULYS-* on origin RGS; total origin refs=211 incl PR/archive/HEAD); dev_tip_local=bb1dbe30f99add8e925cf477efb523d9d0633d63 matches_origin=bb1dbe30f99add8e925cf477efb523d9d0633d63; tracked_tree_clean=1; autopilot_id=82acf028-29f3-4bfc-b288-885df575c3df; trigger_run_id=01a0d87d-a172-7764-923c-739505a8ad50
2026-09-25T12:35:13Z | NONE | none | NO_WORK | 0-candidate-branches-on-origin
2026-09-25T12:49:28Z | NO_WORK | - | NO_WORK | 2a6c6f95
2026-09-25T13:02:47Z | (none) | (none) | NO_WORK | last_run_at=2026-09-25T13:00:14Z; issues_newer_than_window=0 (page1 100 done scanned, newest 10:08:37Z < window); origin_branches_matching_pattern=0 (zero refs/heads/agent/*/ULYS-* on origin RGS, total origin refs=162 incl PR/HEAD); dev_tip_local=b493541664b75711e908e6d03bf110457cd96289 matches_origin=b493541664b75711e908e6d03bf110457cd96289; tracked_tree_clean=1; autopilot_id=82acf028-29f3-4bfc-b288-885df575c3df; trigger_run_id=01a0d8a6-f2e7-754f-9c77-f2a3fd2027b6
